ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075848986::Value,1075849148::Comments,1075849172::Physical Only,1075849173::Logical Only,1075849176::Physical Name,1075849713::Is Detach,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075850737::Schema,1075852160::Generate Using Bind,1075852278::Extended Notes Order  [read only],1075848978::Type,1075849001::Min,1075849002::Max,1075849003::Error Message,1075849714::Quote Value,1075849715::Invert Expression,1075849722::Is Not For Replication,1075850193::Dependent Objects  [read only]
"1075839020::1186","CK_ProductCostHistory_StandardCost",Validation Rule,"","CK_ProductCostHistory_StandardCost"," >= 0.00","","","","CK_ProductCostHistory_StandardCost","","CK_ProductCostHistory_StandardCost","CK_ProductCostHistory_StandardCost","Production","false","","MinMax","0.00","","","No","false","","CK_ProductCostHistory_StandardCost"
"1075839020::1194","CK_ProductCostHistory_EndDate",Validation Rule,"","CK_ProductCostHistory_EndDate","[EndDate]>=[StartDate] OR [EndDate] IS NULL","","","","CK_ProductCostHistory_EndDate","","CK_ProductCostHistory_EndDate","CK_ProductCostHistory_EndDate","Production","false","","User-Defined","","","","","","","CK_ProductCostHistory_EndDate"
"1075839020::1226","CK_ProductInventory_Shelf",Validation Rule,"","CK_ProductInventory_Shelf","[Shelf] like '[A-Za-z]' OR [Shelf]='N/A'","","","","CK_ProductInventory_Shelf","","CK_ProductInventory_Shelf","CK_ProductInventory_Shelf","Production","false","","User-Defined","","","","","","","CK_ProductInventory_Shelf"
"1075839020::1228","CK_ProductInventory_Bin",Validation Rule,"","CK_ProductInventory_Bin"," BETWEEN 0 AND 100","","","","CK_ProductInventory_Bin","","CK_ProductInventory_Bin","CK_ProductInventory_Bin","Production","false","","MinMax","0","100","","No","false","","CK_ProductInventory_Bin"
"1075839020::1245","CK_ProductListPriceHistory_ListPrice",Validation Rule,"","CK_ProductListPriceHistory_ListPrice","[ListPrice]>(0.00)","","","","CK_ProductListPriceHistory_ListPrice","","CK_ProductListPriceHistory_ListPrice","CK_ProductListPriceHistory_ListPrice","Production","false","","User-Defined","","","","","","","CK_ProductListPriceHistory_ListPrice"
"1075839020::1253","CK_ProductListPriceHistory_EndDate",Validation Rule,"","CK_ProductListPriceHistory_EndDate","[EndDate]>=[StartDate] OR [EndDate] IS NULL","","","","CK_ProductListPriceHistory_EndDate","","CK_ProductListPriceHistory_EndDate","CK_ProductListPriceHistory_EndDate","Production","false","","User-Defined","","","","","","","CK_ProductListPriceHistory_EndDate"
"1075839020::1329","CK_ProductReview_Rating",Validation Rule,"","CK_ProductReview_Rating"," BETWEEN 1 AND 5","","","","CK_ProductReview_Rating","","CK_ProductReview_Rating","CK_ProductReview_Rating","Production","false","","MinMax","1","5","","No","false","","CK_ProductReview_Rating"
"1075839020::1384","CK_TransactionHistory_TransactionType",Validation Rule,"","CK_TransactionHistory_TransactionType","[]='P' OR []='S' OR []='W'","","","","CK_TransactionHistory_TransactionType","","CK_TransactionHistory_TransactionType","CK_TransactionHistory_TransactionType","Production","false","","Valid Values","","","","Yes","","","CK_TransactionHistory_TransactionType"
"1075839020::1411","CK_TransactionHistoryArchive_TransactionType",Validation Rule,"","CK_TransactionHistoryArchive_TransactionType","[]='P' OR []='S' OR []='W'","","","","CK_TransactionHistoryArchive_TransactionType","","CK_TransactionHistoryArchive_TransactionType","CK_TransactionHistoryArchive_TransactionType","Production","false","","Valid Values","","","","Yes","","","CK_TransactionHistoryArchive_TransactionType"
"1075839020::1446","CK_WorkOrder_OrderQty",Validation Rule,"","CK_WorkOrder_OrderQty","[OrderQty]>(0)","","","","CK_WorkOrder_OrderQty","","CK_WorkOrder_OrderQty","CK_WorkOrder_OrderQty","Production","false","","User-Defined","","","","","","","CK_WorkOrder_OrderQty"
