ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1073742125::Definition,1073742126::Name,1075849120::Generate As Udd,1075849148::Comments,1075849172::Physical Only,1075849173::Logical Only,1075849176::Physical Name,1075850186::Expression,1075850193::Dependent Objects  [read only],1075850516::User Formatted Name  [read only],1075850700::Persisted,1075850737::Schema,1075852278::Extended Notes Order  [read only],1075848986::Value,1075849458::Default Value,1075849712::Generate SQL 92 Format,1075849713::Is Detach,1075849717::Is Supplied,1075849718::System Generated,1075852160::Generate Using Bind,1075852278::Extended Notes Order  [read only],1075849458::Default Value,1075850516::User Formatted Name  [read only]
"1075839019::1363","DF_ScrapReason_ModifiedDate",Default Value,"","DF_ScrapReason_ModifiedDate","","","","","DF_ScrapReason_ModifiedDate","","DF_ScrapReason_ModifiedDate","DF_ScrapReason_ModifiedDate","","Production","","getdate()","","","","","","false","","","DF_ScrapReason_ModifiedDate"
"1075839019::1380","DF_TransactionHistory_ReferenceOrderLineID",Default Value,"","DF_TransactionHistory_ReferenceOrderLineID","","","","","DF_TransactionHistory_ReferenceOrderLineID","","DF_TransactionHistory_ReferenceOrderLineID","DF_TransactionHistory_ReferenceOrderLineID","","Production","","0","","","","","","false","","","DF_TransactionHistory_ReferenceOrderLineID"
"1075839019::1382","DF_TransactionHistory_TransactionDate",Default Value,"","DF_TransactionHistory_TransactionDate","","","","","DF_TransactionHistory_TransactionDate","","DF_TransactionHistory_TransactionDate","DF_TransactionHistory_TransactionDate","","Production","","getdate()","","","","","","false","","","DF_TransactionHistory_TransactionDate"
"1075839019::1386","DF_TransactionHistory_ModifiedDate",Default Value,"","DF_TransactionHistory_ModifiedDate","","","","","DF_TransactionHistory_ModifiedDate","","DF_TransactionHistory_ModifiedDate","DF_TransactionHistory_ModifiedDate","","Production","","getdate()","","","","","","false","","","DF_TransactionHistory_ModifiedDate"
"1075839019::1407","DF_TransactionHistoryArchive_ReferenceOrderLineID",Default Value,"","DF_TransactionHistoryArchive_ReferenceOrderLineID","","","","","DF_TransactionHistoryArchive_ReferenceOrderLineID","","DF_TransactionHistoryArchive_ReferenceOrderLineID","DF_TransactionHistoryArchive_ReferenceOrderLineID","","Production","","0","","","","","","false","","","DF_TransactionHistoryArchive_ReferenceOrderLineID"
"1075839019::1409","DF_TransactionHistoryArchive_TransactionDate",Default Value,"","DF_TransactionHistoryArchive_TransactionDate","","","","","DF_TransactionHistoryArchive_TransactionDate","","DF_TransactionHistoryArchive_TransactionDate","DF_TransactionHistoryArchive_TransactionDate","","Production","","getdate()","","","","","","false","","","DF_TransactionHistoryArchive_TransactionDate"
"1075839019::1413","DF_TransactionHistoryArchive_ModifiedDate",Default Value,"","DF_TransactionHistoryArchive_ModifiedDate","","","","","DF_TransactionHistoryArchive_ModifiedDate","","DF_TransactionHistoryArchive_ModifiedDate","DF_TransactionHistoryArchive_ModifiedDate","","Production","","getdate()","","","","","","false","","","DF_TransactionHistoryArchive_ModifiedDate"
"1075839019::1428","DF_UnitMeasure_ModifiedDate",Default Value,"","DF_UnitMeasure_ModifiedDate","","","","","DF_UnitMeasure_ModifiedDate","","DF_UnitMeasure_ModifiedDate","DF_UnitMeasure_ModifiedDate","","Production","","getdate()","","","","","","false","","","DF_UnitMeasure_ModifiedDate"
"1075839019::1450","DF_WorkOrder_ModifiedDate",Default Value,"","DF_WorkOrder_ModifiedDate","","","","","DF_WorkOrder_ModifiedDate","","DF_WorkOrder_ModifiedDate","DF_WorkOrder_ModifiedDate","","Production","","getdate()","","","","","","false","","","DF_WorkOrder_ModifiedDate"
"1075839019::1483","DF_WorkOrderRouting_ModifiedDate",Default Value,"","DF_WorkOrderRouting_ModifiedDate","","","","","DF_WorkOrderRouting_ModifiedDate","","DF_WorkOrderRouting_ModifiedDate","DF_WorkOrderRouting_ModifiedDate","","Production","","getdate()","","","","","","false","","","DF_WorkOrderRouting_ModifiedDate"
"1075839019::1520","DF_ProductVendor_ModifiedDate",Default Value,"","DF_ProductVendor_ModifiedDate","","","","","DF_ProductVendor_ModifiedDate","","DF_ProductVendor_ModifiedDate","DF_ProductVendor_ModifiedDate","","Purchasing","","getdate()","","","","","","false","","","DF_ProductVendor_ModifiedDate"
"1075839019::1551","DF_PurchaseOrderDetail_ModifiedDate",Default Value,"","DF_PurchaseOrderDetail_ModifiedDate","","","","","DF_PurchaseOrderDetail_ModifiedDate","","DF_PurchaseOrderDetail_ModifiedDate","DF_PurchaseOrderDetail_ModifiedDate","","Purchasing","","getdate()","","","","","","false","","","DF_PurchaseOrderDetail_ModifiedDate"
